"station","valid","tmpf","relh","solar","precip","speed","drct","et","soil04t","soil12t","soil24t","soil50t","soil12vwc","soil24vwc","soil50vwc"
"BOOI4","2018-01-01 00:00",-17.86,77.07,0,0,11.947496,292.4,3.93700787401575e-05,14.4679999999999,32.0053999999999,36.4495999999999,42.2186,16.4,12.4,18.8
"BOOI4","2018-01-01 01:00",-18.9400000000001,76.73,0,0,10.052808,292.9,3.93700787401575e-05,14.09,31.9711999999999,36.4405999999999,42.2096,16,12.4,18.8
"BOOI4","2018-01-01 02:00",-19.102,75.56,0,0,9.350409,292.4,3.93700787401575e-05,13.7839999999999,31.9172,36.4369999999999,42.2041999999999,15.7,12.4,18.8
"BOOI4","2018-01-01 03:00",-19.7500000000001,76.35,0,0,9.84701,280.4,3.93700787401575e-05,13.4419999999999,31.8812,36.4135999999999,42.197,15.3,12.4,18.7
"BOOI4","2018-01-01 04:00",-20.1820000000001,76.79,0,0,10.468879,283.3,3.93700787401575e-05,13.064,31.8325999999999,36.3992,42.1897999999999,14.9,12.4,18.7
"BOOI4","2018-01-01 05:00",-20.6320000000001,77.29,0,0,9.86938,278.1,3.93700787401575e-05,12.7759999999999,31.7857999999999,36.3829999999999,42.1825999999999,14.6,12.4,18.7
"BOOI4","2018-01-01 06:00",-20.6860000000001,77.39,0,0,9.753058,276.9,3.93700787401575e-05,12.488,31.7245999999999,36.3776,42.1681999999999,14.2,12.4,18.7
"BOOI4","2018-01-01 07:00",-21.118,77.76,0,0,10.164656,274.5,3.93700787401575e-05,12.2179999999999,31.6579999999999,36.3505999999999,42.1609999999999,13.9,12.4,18.7
"BOOI4","2018-01-01 08:00",-20.8840000000001,77.62,19774.546,0,10.703757,275,3.93700787401575e-05,11.948,31.5985999999999,36.347,42.1538,13.7,12.4,18.7
"BOOI4","2018-01-01 09:00",-19.372,76.14,371118.16,0,10.437562,271.3,0.00031496062992126,11.7859999999999,31.5373999999999,36.3289999999999,42.1429999999999,13.4,12.4,18.7
"BOOI4","2018-01-01 10:00",-15.7000000000001,74.03,860090.9,0,10.770866,277.1,0.00062992125984252,12.074,31.4761999999999,36.3128,42.1375999999999,13.2,12.4,18.7
"BOOI4","2018-01-01 11:00",-11.0920000000001,71.54,1274000,0,8.56748,290,0.00106299212598425,13.0279999999999,31.4113999999999,36.3019999999999,42.1267999999999,12.9,12.4,18.7
"BOOI4","2018-01-01 12:00",-8.82400000000007,69.59,1532909,0,7.5496726,282.7,0.00145669291338583,14.2699999999999,31.3502,36.2803999999999,42.1123999999999,12.7,12.4,18.7
"BOOI4","2018-01-01 13:00",-7.25800000000007,67.96,1596454.5,0,6.7622695,270.9,0.00169291338582677,15.4939999999999,31.2817999999999,36.2533999999999,42.1069999999999,12.6,12.4,18.7
"BOOI4","2018-01-01 14:00",-6.91600000000007,70,1457545.4,0,8.431027,268.4,0.00153543307086614,16.34,31.2368,36.248,42.0871999999999,12.4,12.3,18.7
"BOOI4","2018-01-01 15:00",-6.16000000000004,70.63,1136818.1,0,8.093249,267.6,0.0012992125984252,16.4659999999999,31.19,36.23,42.0817999999999,12.3,12.3,18.7
"BOOI4","2018-01-01 16:00",-6.98800000000006,73.28,684454.5,0,7.2879505,265.2,0.000826771653543307,15.9259999999999,31.1468,36.2048,42.0727999999999,12.2,12.3,18.7
"BOOI4","2018-01-01 17:00",-9.61600000000007,76.38,200354.54,0,7.22979,266.3,0.00031496062992126,15.4579999999999,31.1107999999999,36.1975999999999,42.0745999999999,12.1,12.3,18.7
"BOOI4","2018-01-01 18:00",-11.4160000000001,78.42,1411.8181,0,5.583402,279.5,0,14.864,31.0711999999999,36.1795999999999,42.0584,12.1,12.3,18.7
"BOOI4","2018-01-01 19:00",-13.864,79.77,0,0,4.9615326,282.8,0,14.3599999999999,31.0424,36.1597999999999,42.0439999999999,12,12.3,18.7
"BOOI4","2018-01-01 20:00",-16.51,82.9,0,0,3.2211938,257.5,-3.93700787401575e-05,13.856,31.0009999999999,36.1562,42.0349999999999,11.9,12.3,18.7
"BOOI4","2018-01-01 21:00",-14.0980000000001,81.3,0,0,4.516382,276.7,0,13.406,30.9703999999999,36.1237999999999,42.0242,11.9,12.3,18.7
"BOOI4","2018-01-01 22:00",-16.1500000000001,82.3,0,0,4.1629453,272.1,0,13.046,30.9128,36.1039999999999,42.0206,11.8,12.3,18.7
"BOOI4","2018-01-01 23:00",-14.368,81.7,0,0,3.5723932,284.1,-3.93700787401575e-05,12.722,30.8569999999999,36.0859999999999,42.0043999999999,11.7,12.3,18.7
